ds,y
11/7/2018 0:00,206503.7
11/8/2018 0:00,293992.54
11/9/2018 0:00,254418.78
11/10/2018 0:00,345284.7
11/11/2018 0:00,109341.81
11/12/2018 0:00,135140.53
11/13/2018 0:00,186154.22
11/14/2018 0:00,235941.05
11/15/2018 0:00,254532.36
11/16/2018 0:00,340541.46
11/17/2018 0:00,353080.43
11/18/2018 0:00,187409.1
11/19/2018 0:00,150288.76
11/20/2018 0:00,238138.28
11/21/2018 0:00,281852.57
11/22/2018 0:00,273228.13
11/23/2018 0:00,323987.55
11/24/2018 0:00,387123.41
11/25/2018 0:00,223722.08
11/26/2018 0:00,213122.35
11/27/2018 0:00,328713.9
11/28/2018 0:00,280202.95
11/29/2018 0:00,315968.84
11/30/2018 0:00,345242.9
12/1/2018 0:00,358616.41
12/2/2018 0:00,273428.25
12/3/2018 0:00,221929.04
12/4/2018 0:00,307474.41
12/5/2018 0:00,306732.67
12/6/2018 0:00,340678.27
12/7/2018 0:00,399310.15
12/8/2018 0:00,373926.85
12/9/2018 0:00,210700.98
12/10/2018 0:00,257142.81
12/11/2018 0:00,321402.72
12/12/2018 0:00,306273.14
12/13/2018 0:00,303594.14
12/14/2018 0:00,381498.92
12/15/2018 0:00,430930.23
12/16/2018 0:00,259250.32
12/17/2018 0:00,272072.24
12/18/2018 0:00,290939.3
12/19/2018 0:00,377660.53
12/20/2018 0:00,367623.75
12/21/2018 0:00,378806.97
12/22/2018 0:00,451455.58
12/23/2018 0:00,245074.18
12/24/2018 0:00,76020.27
12/26/2018 0:00,28292.44
12/27/2018 0:00,263255.8
12/28/2018 0:00,343857.33
12/29/2018 0:00,352926.49
12/30/2018 0:00,261347.8
12/31/2018 0:00,158032.33
1/2/2019 0:00,262700.7
1/3/2019 0:00,295496.68
1/4/2019 0:00,328888.06
1/5/2019 0:00,382685.75
1/6/2019 0:00,240090.83
1/7/2019 0:00,201568.53
1/8/2019 0:00,275968.61
1/9/2019 0:00,231079.71
1/10/2019 0:00,278904.57
1/11/2019 0:00,346357.05
1/12/2019 0:00,377003.5
1/13/2019 0:00,195688.78
1/14/2019 0:00,159886.98
1/15/2019 0:00,180112.65
1/16/2019 0:00,203700.54
1/17/2019 0:00,229199.93
1/18/2019 0:00,322727.31
1/19/2019 0:00,345455.24
1/20/2019 0:00,158482.17
1/21/2019 0:00,166266.9
1/22/2019 0:00,228924.6
1/23/2019 0:00,223098.86
1/24/2019 0:00,264245.88
1/25/2019 0:00,298030.97
1/26/2019 0:00,347881.03
1/27/2019 0:00,176722.83
1/28/2019 0:00,193244.29
1/29/2019 0:00,176838.31
1/30/2019 0:00,211780.61
1/31/2019 0:00,237238.78
2/1/2019 0:00,281531.73
2/2/2019 0:00,344241.3
2/3/2019 0:00,195164.62
2/4/2019 0:00,171736.78
2/5/2019 0:00,192603.52
2/6/2019 0:00,254979.62
2/7/2019 0:00,185854.93
2/8/2019 0:00,255781.91
2/9/2019 0:00,331574.13
2/10/2019 0:00,167438.1
2/11/2019 0:00,148167.14
2/12/2019 0:00,121437.77
2/13/2019 0:00,200979.32
2/14/2019 0:00,164550.15
2/15/2019 0:00,242641.27
2/16/2019 0:00,244723.69
2/17/2019 0:00,204871.99
2/19/2019 0:00,192685.59
2/20/2019 0:00,186318.59
2/21/2019 0:00,182561.4
2/22/2019 0:00,170960.21
2/23/2019 0:00,332655.11
2/24/2019 0:00,150503.92
2/25/2019 0:00,129132.78
2/26/2019 0:00,157548.3
2/27/2019 0:00,140954.42
2/28/2019 0:00,171629.38
3/1/2019 0:00,241728.9
3/2/2019 0:00,324361.49
3/3/2019 0:00,211086.34
3/4/2019 0:00,134566.61
3/5/2019 0:00,191571.14
3/6/2019 0:00,188202.97
3/7/2019 0:00,152479.66
3/8/2019 0:00,173549.11
3/9/2019 0:00,264204.48
3/10/2019 0:00,155177.55
3/11/2019 0:00,168243.45
3/12/2019 0:00,182085.83
3/13/2019 0:00,164799.72
3/14/2019 0:00,171900.69
